DateTime,Area,Rainfall (mm/hr),Precipitation Type,Month
1/1/2025 0:00,Sample Area,0,No rainfall,1
1/1/2025 1:00,Sample Area,0,No rainfall,1
1/1/2025 2:00,Sample Area,0,No rainfall,1
1/1/2025 3:00,Sample Area,0,No rainfall,1
1/1/2025 4:00,Sample Area,0.66,Moderate,1
1/1/2025 5:00,Sample Area,0,No rainfall,1
1/1/2025 6:00,Sample Area,0.83,Moderate,1
1/1/2025 7:00,Sample Area,0,No rainfall,1
1/1/2025 8:00,Sample Area,0,No rainfall,1
1/1/2025 9:00,Sample Area,0,No rainfall,1
1/1/2025 10:00,Sample Area,0,No rainfall,1
1/1/2025 11:00,Sample Area,0,No rainfall,1
1/1/2025 12:00,Sample Area,0,No rainfall,1
1/1/2025 13:00,Sample Area,0,No rainfall,1
1/1/2025 14:00,Sample Area,0.41,Slight,1
1/1/2025 15:00,Sample Area,0,No rainfall,1
1/1/2025 16:00,Sample Area,0,No rainfall,1
1/1/2025 17:00,Sample Area,0,No rainfall,1
1/1/2025 18:00,Sample Area,0,No rainfall,1
1/1/2025 19:00,Sample Area,0,No rainfall,1
1/1/2025 20:00,Sample Area,0,No rainfall,1
1/1/2025 21:00,Sample Area,0.98,Moderate,1
1/1/2025 22:00,Sample Area,0,No rainfall,1
1/1/2025 23:00,Sample Area,0,No rainfall,1
1/2/2025 0:00,Sample Area,0,No rainfall,1
1/2/2025 1:00,Sample Area,0,No rainfall,1
1/2/2025 2:00,Sample Area,0,No rainfall,1
1/2/2025 3:00,Sample Area,0,No rainfall,1
1/2/2025 4:00,Sample Area,0,No rainfall,1
1/2/2025 5:00,Sample Area,0,No rainfall,1
1/2/2025 6:00,Sample Area,0,No rainfall,1
1/2/2025 7:00,Sample Area,0,No rainfall,1
1/2/2025 8:00,Sample Area,0,No rainfall,1
1/2/2025 9:00,Sample Area,0.43,Slight,1
1/2/2025 10:00,Sample Area,0,No rainfall,1
1/2/2025 11:00,Sample Area,0,No rainfall,1
1/2/2025 12:00,Sample Area,0,No rainfall,1
1/2/2025 13:00,Sample Area,0,No rainfall,1
1/2/2025 14:00,Sample Area,0,No rainfall,1
1/2/2025 15:00,Sample Area,0.59,Moderate,1
1/2/2025 16:00,Sample Area,0,No rainfall,1
1/2/2025 17:00,Sample Area,0,No rainfall,1
1/2/2025 18:00,Sample Area,0,No rainfall,1
1/2/2025 19:00,Sample Area,0,No rainfall,1
1/2/2025 20:00,Sample Area,0,No rainfall,1
1/2/2025 21:00,Sample Area,0,No rainfall,1
1/2/2025 22:00,Sample Area,0,No rainfall,1
1/2/2025 23:00,Sample Area,0,No rainfall,1
1/3/2025 0:00,Sample Area,0.48,Slight,1
1/3/2025 1:00,Sample Area,0,No rainfall,1
