Date,Daily_Rainfall_mm,Month,Season
2025-01-01,2.88,1,Winter
2025-01-02,1.02,1,Winter
2025-01-03,1.31,1,Winter
2025-01-04,3.46,1,Winter
2025-01-05,2.6500000000000004,1,Winter
2025-01-06,0.65,1,Winter
2025-01-07,0.58,1,Winter
2025-01-08,1.97,1,Winter
2025-01-09,1.73,1,Winter
2025-01-10,0.63,1,Winter
2025-01-11,0.17,1,Winter
2025-01-12,1.84,1,Winter
2025-01-13,1.23,1,Winter
2025-01-14,0.88,1,Winter
2025-01-15,1.01,1,Winter
2025-01-16,1.04,1,Winter
2025-01-17,1.72,1,Winter
2025-01-18,0.3,1,Winter
2025-01-19,2.19,1,Winter
2025-01-20,0.68,1,Winter
2025-01-21,0.58,1,Winter
2025-01-22,0.11,1,Winter
2025-01-23,1.42,1,Winter
2025-01-24,1.35,1,Winter
2025-01-25,0.51,1,Winter
2025-01-26,0.22,1,Winter
2025-01-27,0.82,1,Winter
2025-01-28,0.96,1,Winter
2025-01-29,0.8,1,Winter
2025-01-30,0.35,1,Winter
2025-01-31,0.0,1,Winter
2025-02-01,6.53,2,Winter
2025-02-02,2.4699999999999998,2,Winter
2025-02-03,2.27,2,Winter
2025-02-04,2.5999999999999996,2,Winter
2025-02-05,9.43,2,Winter
2025-02-06,2.71,2,Winter
2025-02-07,1.73,2,Winter
2025-02-08,5.62,2,Winter
2025-02-09,3.01,2,Winter
2025-02-10,2.3200000000000003,2,Winter
2025-02-11,2.77,2,Winter
2025-02-12,1.96,2,Winter
2025-02-13,5.73,2,Winter
2025-02-14,2.55,2,Winter
2025-02-15,3.5599999999999996,2,Winter
2025-02-16,4.69,2,Winter
2025-02-17,3.06,2,Winter
2025-02-18,4.29,2,Winter
2025-02-19,3.06,2,Winter
2025-02-20,5.21,2,Winter
2025-02-21,3.67,2,Winter
2025-02-22,2.29,2,Winter
2025-02-23,5.83,2,Winter
2025-02-24,3.8200000000000003,2,Winter
2025-02-25,5.99,2,Winter
2025-02-26,1.32,2,Winter
2025-02-27,3.08,2,Winter
2025-02-28,0.0,2,Winter
2025-03-01,12.219999999999999,3,Spring
2025-03-02,31.38,3,Spring
2025-03-03,10.49,3,Spring
2025-03-04,18.85,3,Spring
2025-03-05,14.469999999999999,3,Spring
2025-03-06,22.98,3,Spring
2025-03-07,7.85,3,Spring
2025-03-08,10.120000000000001,3,Spring
2025-03-09,23.55,3,Spring
2025-03-10,5.67,3,Spring
2025-03-11,17.55,3,Spring
2025-03-12,4.890000000000001,3,Spring
2025-03-13,24.31,3,Spring
2025-03-14,8.73,3,Spring
2025-03-15,6.69,3,Spring
2025-03-16,9.34,3,Spring
2025-03-17,9.78,3,Spring
2025-03-18,7.86,3,Spring
2025-03-19,22.43,3,Spring
2025-03-20,3.54,3,Spring
2025-03-21,9.02,3,Spring
2025-03-22,25.2,3,Spring
2025-03-23,11.969999999999999,3,Spring
2025-03-24,4.09,3,Spring
2025-03-25,17.01,3,Spring
2025-03-26,12.28,3,Spring
2025-03-27,7.23,3,Spring
2025-03-28,9.03,3,Spring
2025-03-29,18.560000000000002,3,Spring
2025-03-30,10.440000000000001,3,Spring
2025-03-31,0.0,3,Spring
2025-04-01,70.17,4,Spring
2025-04-02,34.46,4,Spring
2025-04-03,22.14,4,Spring
2025-04-04,46.45,4,Spring
2025-04-05,39.6,4,Spring
2025-04-06,42.9,4,Spring
2025-04-07,54.89,4,Spring
2025-04-08,47.25,4,Spring
2025-04-09,63.19,4,Spring
2025-04-10,18.24,4,Spring
2025-04-11,17.98,4,Spring
2025-04-12,41.64,4,Spring
2025-04-13,41.36,4,Spring
2025-04-14,39.69,4,Spring
2025-04-15,22.37,4,Spring
2025-04-16,46.7,4,Spring
2025-04-17,30.049999999999997,4,Spring
2025-04-18,47.18,4,Spring
2025-04-19,34.09,4,Spring
2025-04-20,46.53,4,Spring
2025-04-21,59.22,4,Spring
2025-04-22,37.19,4,Spring
2025-04-23,56.55,4,Spring
2025-04-24,41.82,4,Spring
2025-04-25,20.15,4,Spring
2025-04-26,38.2,4,Spring
2025-04-27,29.55,4,Spring
2025-04-28,36.06,4,Spring
2025-04-29,32.57,4,Spring
2025-04-30,0.0,4,Spring
2025-05-01,103.28,5,Spring
2025-05-02,122.06,5,Spring
2025-05-03,67.74,5,Spring
2025-05-04,92.21,5,Spring
2025-05-05,79.23,5,Spring
2025-05-06,89.0,5,Spring
2025-05-07,105.16,5,Spring
2025-05-08,95.93,5,Spring
2025-05-09,105.01,5,Spring
2025-05-10,145.87,5,Spring
2025-05-11,66.78,5,Spring
2025-05-12,56.99,5,Spring
2025-05-13,120.36,5,Spring
2025-05-14,103.02,5,Spring
2025-05-15,60.13,5,Spring
2025-05-16,85.27,5,Spring
2025-05-17,73.05,5,Spring
2025-05-18,65.72,5,Spring
2025-05-19,115.27,5,Spring
2025-05-20,96.75999999999999,5,Spring
2025-05-21,83.07,5,Spring
2025-05-22,98.97,5,Spring
2025-05-23,91.6,5,Spring
2025-05-24,122.91,5,Spring
2025-05-25,103.45,5,Spring
2025-05-26,51.91,5,Spring
2025-05-27,78.46000000000001,5,Spring
2025-05-28,72.78,5,Spring
2025-05-29,114.76,5,Spring
2025-05-30,91.72,5,Spring
2025-05-31,0.0,5,Spring
2025-06-01,292.03000000000003,6,Summer
2025-06-02,306.53,6,Summer
2025-06-03,191.27,6,Summer
2025-06-04,370.06,6,Summer
2025-06-05,217.78,6,Summer
2025-06-06,375.07,6,Summer
2025-06-07,303.79,6,Summer
2025-06-08,224.15,6,Summer
2025-06-09,285.16,6,Summer
2025-06-10,403.64,6,Summer
2025-06-11,223.72,6,Summer
2025-06-12,317.36,6,Summer
2025-06-13,345.94,6,Summer
2025-06-14,322.64,6,Summer
2025-06-15,292.75,6,Summer
2025-06-16,253.68,6,Summer
2025-06-17,297.6,6,Summer
2025-06-18,335.84,6,Summer
2025-06-19,272.87,6,Summer
2025-06-20,262.19,6,Summer
2025-06-21,239.85,6,Summer
2025-06-22,310.5,6,Summer
2025-06-23,306.40999999999997,6,Summer
2025-06-24,195.71,6,Summer
2025-06-25,243.2,6,Summer
