Building ID,Rooftop Area (m²),Total_Collection_L
1,57,3302.853543
2,206,11936.628594
3,145,8401.995855000001
4,151,8749.664649
5,54,3129.019146
6,288,16688.102112
7,135,7822.5478650000005
8,224,12979.634976000001
9,83,4809.418317
10,242,14022.641358
11,104,6026.259096000001
12,168,9734.726232
13,267,15471.261333
14,220,12747.85578
15,251,14544.144549
16,207,11994.573392999999
17,163,9445.002237
18,259,15007.702941
19,194,11241.291006000001
20,75,4345.859925
21,185,10719.787815
22,96,5562.700704000001
23,281,16282.488519
24,162,9387.057438000002
25,125,7243.099875
26,268,15529.206132000001
27,121,7011.320679
28,138,7996.382262
29,95,5504.755905
30,245,14196.475755
31,82,4751.473518
32,50,2897.23995
33,196,11357.180604000001
34,80,4635.58392
35,257,14891.813343
36,191,11067.456608999999
37,102,5910.369498
38,97,5620.645503000001
39,118,6837.486282000001
40,154,8923.499046
41,139,8054.327061000001
42,239,13848.806961
43,269,15587.150931
44,243,14080.586157000002
45,291,16861.936509000003
46,241,13964.696559
47,247,14312.365353
48,112,6489.817488000001
49,122,7069.265478
50,210,12168.40779
51,218,12631.966182
52,138,7996.382262
53,225,13037.579775
54,62,3592.5775379999995
55,122,7069.265478
56,294,17035.770905999998
57,126,7301.044674000001
58,208,12052.518192000001
59,282,16340.433318
60,252,14602.089348000001
61,117,6779.541483
62,147,8517.885452999999
63,174,10082.395026
64,151,8749.664649
65,287,16630.157313
66,181,10488.008619
67,151,8749.664649
68,68,3940.2463320000006
69,247,14312.365353
70,275,15934.819725
71,131,7590.768669000001
72,190,11009.51181
73,282,16340.433318
74,72,4172.025528
75,132,7648.713467999999
76,158,9155.278242
77,124,7185.155075999999
78,178,10314.174222000001
79,137,7938.437463
80,103,5968.314297
81,248,14370.310151999998
82,138,7996.382262
83,262,15181.537338000002
84,192,11125.401408000002
85,114,6605.707086
86,125,7243.099875
87,299,17325.494901000002
88,248,14370.310151999998
89,192,11125.401408000002
90,198,11473.070201999999
91,196,11357.180604000001
92,109,6315.983091
93,142,8228.161458
